data,id,mois,jour,annee,numero_de_message,temperature_partie_entiere,temperature_partie_decimale,humidite,pluie_en_augets,direction_du_vecteur_moyen_de_vent,force_moyenne_du_vecteur_de_vent,pression_a_decoder,direction_du_vecteur_de_vent_max,force_du_vecteur_de_vent_max,pluie_la_plus_intense_durant_1_min,type_station,pluie_intensite_max,heure,annee_reelle,minute,pression,temperature_decodee,direction_du_vecteur_vent_moyen,type_de_station,pluie,direction_du_vecteur_de_vent_max_en_degres,force_moyenne_du_vecteur_vent,force_rafale_max,jour_mois,dd_mm_yy_utc,hh_mm_utc,dd_mm_yy_hh_mm,temperature_en_degre_c,false_message,dd_mm_yy_hh_mm_utc,heure_paris_dd_mm_yy_hh_mm,heure_de_paris,heure_utc
a990a8f2f2f2f2f2f2f2f2f3,84,12,16,10,71,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,17,2029,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,16/12,16/12/2029,17:30,2029-12-16T17:30:00,25.12,267125272015603,2029-12-16T17:30:00+00:00,2029-12-16T17:30:00+01:00,2029-12-16T17:30:00+00:00,2029-12-16T17:30:00+00:00
a968a2f2f2f2f2f2f2f2f2f3,84,11,8,10,23,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,5,2029,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,8/11,8/11/2029,5:30,2029-11-08T05:30:00,25.12,267125272015603,2029-11-08T05:30:00+00:00,2029-11-08T05:30:00+01:00,2029-11-08T05:30:00+00:00,2029-11-08T05:30:00+00:00
aafc80f2f2f2f2f2f2f2f2f3,85,7,28,8,7,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,1,2027,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,28/7,28/7/2027,1:30,2027-07-28T01:30:00,25.12,267125272015603,2027-07-28T01:30:00+00:00,2027-07-28T01:30:00+02:00,2027-07-28T01:30:00+00:00,2027-07-28T01:30:00+00:00
ab1cb4f2f2f2f2f2f2f2f2f3,85,8,28,11,39,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,9,2030,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,28/8,28/8/2030,9:30,2030-08-28T09:30:00,25.12,267125272015603,2030-08-28T09:30:00+00:00,2030-08-28T09:30:00+02:00,2030-08-28T09:30:00+00:00,2030-08-28T09:30:00+00:00
a988baf2f2f2f2f2f2f2f2f3,84,12,8,11,87,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,21,2030,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,8/12,8/12/2030,21:30,2030-12-08T21:30:00,25.12,267125272015603,2030-12-08T21:30:00+00:00,2030-12-08T21:30:00+01:00,2030-12-08T21:30:00+00:00,2030-12-08T21:30:00+00:00
a994a2f2f2f2f2f2f2f2f2f3,84,12,20,10,23,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,5,2029,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,20/12,20/12/2029,5:30,2029-12-20T05:30:00,25.12,267125272015603,2029-12-20T05:30:00+00:00,2029-12-20T05:30:00+01:00,2029-12-20T05:30:00+00:00,2029-12-20T05:30:00+00:00
a99498f2f2f2f2f2f2f2f2f3,84,12,20,9,71,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,17,2028,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,20/12,20/12/2028,17:30,2028-12-20T17:30:00,25.12,267125272015603,2028-12-20T17:30:00+00:00,2028-12-20T17:30:00+01:00,2028-12-20T17:30:00+00:00,2028-12-20T17:30:00+00:00
ab90a4f2f2f2f2f2f2f2f2f3,85,12,16,10,39,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,9,2029,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,16/12,16/12/2029,9:30,2029-12-16T09:30:00,25.12,267125272015603,2029-12-16T09:30:00+00:00,2029-12-16T09:30:00+01:00,2029-12-16T09:30:00+00:00,2029-12-16T09:30:00+00:00
ab90b8f2f2f2f2f2f2f2f2f3,85,12,16,11,71,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,17,2030,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,16/12,16/12/2030,17:30,2030-12-16T17:30:00,25.12,267125272015603,2030-12-16T17:30:00+00:00,2030-12-16T17:30:00+01:00,2030-12-16T17:30:00+00:00,2030-12-16T17:30:00+00:00
aae8aaf2f2f2f2f2f2f2f2f3,85,7,8,10,87,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,21,2029,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,8/7,8/7/2029,21:30,2029-07-08T21:30:00,25.12,267125272015603,2029-07-08T21:30:00+00:00,2029-07-08T21:30:00+02:00,2029-07-08T21:30:00+00:00,2029-07-08T21:30:00+00:00
aa5c94f2f2f2f2f2f2f2f2f3,85,2,28,9,39,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,9,2028,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,28/2,28/2/2028,9:30,2028-02-28T09:30:00,25.12,267125272015603,2028-02-28T09:30:00+00:00,2028-02-28T09:30:00+01:00,2028-02-28T09:30:00+00:00,2028-02-28T09:30:00+00:00
ab6ca8f2f2f2f2f2f2f2f2f3,85,11,12,10,71,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,17,2029,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,12/11,12/11/2029,17:30,2029-11-12T17:30:00,25.12,267125272015603,2029-11-12T17:30:00+00:00,2029-11-12T17:30:00+01:00,2029-11-12T17:30:00+00:00,2029-11-12T17:30:00+00:00
ab848af2f2f2f2f2f2f2f2f3,85,12,4,8,87,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,21,2027,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,4/12,4/12/2027,21:30,2027-12-04T21:30:00,25.12,267125272015603,2027-12-04T21:30:00+00:00,2027-12-04T21:30:00+01:00,2027-12-04T21:30:00+00:00,2027-12-04T21:30:00+00:00
ab8492f2f2f2f2f2f2f2f2f3,85,12,4,9,23,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,5,2028,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,4/12,4/12/2028,5:30,2028-12-04T05:30:00,25.12,267125272015603,2028-12-04T05:30:00+00:00,2028-12-04T05:30:00+01:00,2028-12-04T05:30:00+00:00,2028-12-04T05:30:00+00:00
aa64baf2f2f2f2f2f2f2f2f3,85,3,4,11,87,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,21,2030,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,4/3,4/3/2030,21:30,2030-03-04T21:30:00,25.12,267125272015603,2030-03-04T21:30:00+00:00,2030-03-04T21:30:00+01:00,2030-03-04T21:30:00+00:00,2030-03-04T21:30:00+00:00
aa74baf2f2f2f2f2f2f2f2f3,85,3,20,11,87,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,21,2030,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,20/3,20/3/2030,21:30,2030-03-20T21:30:00,25.12,267125272015603,2030-03-20T21:30:00+00:00,2030-03-20T21:30:00+01:00,2030-03-20T21:30:00+00:00,2030-03-20T21:30:00+00:00
aa6886f2f2f2f2f2f2f2f2f3,85,3,8,8,55,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,13,2027,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,8/3,8/3/2027,13:30,2027-03-08T13:30:00,25.12,267125272015603,2027-03-08T13:30:00+00:00,2027-03-08T13:30:00+01:00,2027-03-08T13:30:00+00:00,2027-03-08T13:30:00+00:00
a8b090f2f2f2f2f2f2f2f2f3,84,5,16,9,7,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,1,2028,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,16/5,16/5/2028,1:30,2028-05-16T01:30:00,25.12,267125272015603,2028-05-16T01:30:00+00:00,2028-05-16T01:30:00+02:00,2028-05-16T01:30:00+00:00,2028-05-16T01:30:00+00:00
aaa484f2f2f2f2f2f2f2f2f3,85,5,4,8,39,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,9,2027,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,4/5,4/5/2027,9:30,2027-05-04T09:30:00,25.12,267125272015603,2027-05-04T09:30:00+00:00,2027-05-04T09:30:00+02:00,2027-05-04T09:30:00+00:00,2027-05-04T09:30:00+00:00
a8b0a0f2f2f2f2f2f2f2f2f3,84,5,16,10,7,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,1,2029,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,16/5,16/5/2029,1:30,2029-05-16T01:30:00,25.12,267125272015603,2029-05-16T01:30:00+00:00,2029-05-16T01:30:00+02:00,2029-05-16T01:30:00+00:00,2029-05-16T01:30:00+00:00
a8b0b4f2f2f2f2f2f2f2f2f3,84,5,16,11,39,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,9,2030,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,16/5,16/5/2030,9:30,2030-05-16T09:30:00,25.12,267125272015603,2030-05-16T09:30:00+00:00,2030-05-16T09:30:00+02:00,2030-05-16T09:30:00+00:00,2030-05-16T09:30:00+00:00
a8b4a2f2f2f2f2f2f2f2f2f3,84,5,20,10,23,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,5,2029,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,20/5,20/5/2029,5:30,2029-05-20T05:30:00,25.12,267125272015603,2029-05-20T05:30:00+00:00,2029-05-20T05:30:00+02:00,2029-05-20T05:30:00+00:00,2029-05-20T05:30:00+00:00
a8b4a4f2f2f2f2f2f2f2f2f3,84,5,20,10,39,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,9,2029,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,20/5,20/5/2029,9:30,2029-05-20T09:30:00,25.12,267125272015603,2029-05-20T09:30:00+00:00,2029-05-20T09:30:00+02:00,2029-05-20T09:30:00+00:00,2029-05-20T09:30:00+00:00
a8b89af2f2f2f2f2f2f2f2f3,84,5,24,9,87,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,21,2028,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,24/5,24/5/2028,21:30,2028-05-24T21:30:00,25.12,267125272015603,2028-05-24T21:30:00+00:00,2028-05-24T21:30:00+02:00,2028-05-24T21:30:00+00:00,2028-05-24T21:30:00+00:00
aaaca0f2f2f2f2f2f2f2f2f3,85,5,12,10,7,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,1,2029,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,12/5,12/5/2029,1:30,2029-05-12T01:30:00,25.12,267125272015603,2029-05-12T01:30:00+00:00,2029-05-12T01:30:00+02:00,2029-05-12T01:30:00+00:00,2029-05-12T01:30:00+00:00
aab0b6f2f2f2f2f2f2f2f2f3,85,5,16,11,55,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,13,2030,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,16/5,16/5/2030,13:30,2030-05-16T13:30:00,25.12,267125272015603,2030-05-16T13:30:00+00:00,2030-05-16T13:30:00+02:00,2030-05-16T13:30:00+00:00,2030-05-16T13:30:00+00:00
a8fc88f2f2f2f2f2f2f2f2f3,84,7,28,8,71,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,17,2027,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,28/7,28/7/2027,17:30,2027-07-28T17:30:00,25.12,267125272015603,2027-07-28T17:30:00+00:00,2027-07-28T17:30:00+02:00,2027-07-28T17:30:00+00:00,2027-07-28T17:30:00+00:00
a90cbaf2f2f2f2f2f2f2f2f3,84,8,12,11,87,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,21,2030,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,12/8,12/8/2030,21:30,2030-08-12T21:30:00,25.12,267125272015603,2030-08-12T21:30:00+00:00,2030-08-12T21:30:00+02:00,2030-08-12T21:30:00+00:00,2030-08-12T21:30:00+00:00
aa2caaf2f2f2f2f2f2f2f2f3,85,1,12,10,87,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,21,2029,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,12/1,12/1/2029,21:30,2029-01-12T21:30:00,25.12,267125272015603,2029-01-12T21:30:00+00:00,2029-01-12T21:30:00+01:00,2029-01-12T21:30:00+00:00,2029-01-12T21:30:00+00:00
aa249af2f2f2f2f2f2f2f2f3,85,1,4,9,87,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,21,2028,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,4/1,4/1/2028,21:30,2028-01-04T21:30:00,25.12,267125272015603,2028-01-04T21:30:00+00:00,2028-01-04T21:30:00+01:00,2028-01-04T21:30:00+00:00,2028-01-04T21:30:00+00:00
aa2884f2f2f2f2f2f2f2f2f3,85,1,8,8,39,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,9,2027,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,8/1,8/1/2027,9:30,2027-01-08T09:30:00,25.12,267125272015603,2027-01-08T09:30:00+00:00,2027-01-08T09:30:00+01:00,2027-01-08T09:30:00+00:00,2027-01-08T09:30:00+00:00
