dataset_id
stations-meteo-en-place
observation-meteorologique-historiques-france-synop
30-station-meteo-toulouse-george-sand
66-station-meteo-toulouse-life-coubertin
34-station-meteo-toulouse-teso
25-station-meteo-tournefeuille-residentiel
33-station-meteo-saint-jory-chapelle-beldou
31-station-meteo-mons-station-epuration
61-station-meteo-blagnac-mairie
40-station-meteo-toulouse-zi-thibaud
32-station-meteo-mons-ecole
05-station-meteo-toulouse-life-hall-1
07-station-meteo-toulouse-avenue-de-grande-bretagne
14-station-meteo-toulouse-centre-pierre-potier
03-station-meteo-toulouse-busca
09-station-meteo-toulouse-la-salade
26-station-meteo-toulouse-reynerie
27-station-meteo-toulouse-saint-cyprien
42-station-meteo-toulouse-parc-compans-cafarelli
18-station-meteo-brax-ecole
05-station-meteo-toulouse-nakache
00-station-meteo-toulouse-valade
08-station-meteo-toulouse-basso-cambo
01-station-meteo-toulouse-meteopole
12-station-meteo-toulouse-montaudran
previsions-meteo-france-metropole
41-station-meteo-toulouse-avenue-de-casselardit
36-station-meteo-toulouse-purpan
45-station-meteo-toulouse-st-exupery
65-station-meteo-toulouse-life-gastou
63-station-meteo-toulouse-life-marechal-juin
51-station-meteo-toulouse-lardenne
37-station-meteo-toulouse-universite-paul-sabatier
53-station-meteo-toulouse-ponsan
50-station-meteo-blagnac-quinze-sols
39-station-meteo-tournefeuille-ecole
38-station-meteo-toulouse-parc-jardin-des-plantes
24-station-meteo-colomiers-zi-enjacca
49-station-meteo-toulouse-cote-pavee
28-station-meteo-toulouse-carmes
58-station-meteo-toulouse-fondeyre
15-station-meteo-l-union-ecole
19-station-meteo-mondouzil-mairie
23-station-meteo-pibrac-bouconne-centre-equestre
22-station-meteo-colomiers-za-perget
21-station-meteo-cugnaux-general-de-gaulle
17-station-meteo-fenouillet-foyer
02-station-meteo-toulouse-marengo
04-station-meteo-toulouse-ile-empalot
11-station-meteo-toulouse-soupetard
13-station-meteo-toulouse-pech-david
62-station-meteo-toulouse-parc-maourine
10-station-meteo-castelginest-ecole
48-station-meteo-toulouse-la-machine-af
20-station-meteo-mondonville-ecole
47-station-meteo-toulouse-la-machine-tm
